rowID,hpwren_timestamp,air_pressure,air_temp,avg_wind_direction,avg_wind_speed,max_wind_direction,max_wind_speed,min_wind_direction,min_wind_speed,rain_accumulation,rain_duration,relative_humidity
77,9/10/11 1:17,911.9,61.88,66,4,69,4.3,65,3.6,0,0,71.2
78,9/10/11 1:18,911.9,61.7,64,4.1,66,4.3,63,3.5,0,0,71.7
79,9/10/11 1:19,911.9,61.7,66,3.8,71,4.1,60,3.5,0,0,71.6
80,9/10/11 1:20,911.9,61.7,67,3.3,70,3.5,63,3.1,0,0,71.5
81,9/10/11 1:21,911.9,61.52,66,3.8,71,4.1,62,3.7,0,0,71.4
82,9/10/11 1:22,911.9,61.7,64,3.7,67,4.1,60,3.4,0,0,72.1
83,9/10/11 1:23,911.9,61.7,66,3.3,71,3.7,55,3,0,0,72.4
84,9/10/11 1:24,911.9,61.7,76,2.8,95,3.2,67,2.1,0,0,72.1
85,9/10/11 1:25,912,61.52,78,0.5,159,0.8,40,0.2,0,0,71.9
86,9/10/11 1:26,911.9,61.34,96,1.1,112,1.3,86,0.8,0,0,70.4
87,9/10/11 1:27,911.9,60.98,77,2.9,80,3.4,70,2.3,0,0,72.3
88,9/10/11 1:28,911.9,60.98,66,3.9,72,4.3,63,3.4,0,0,73.2
89,9/10/11 1:29,911.9,61.16,67,3.4,73,3.9,62,2.9,0,0,73.1
90,9/10/11 1:30,911.9,61.34,67,3.6,75,4.2,62,3.1,0,0,72.5
91,9/10/11 1:31,911.9,61.52,70,3.5,74,3.9,63,3.2,0,0,72.1
92,9/10/11 1:32,911.9,61.7,71,3.1,79,4.2,63,2.4,0,0,71.3
93,9/10/11 1:33,911.9,62.06,79,3.3,87,3.8,69,2.6,0,0,70
94,9/10/11 1:34,911.9,62.24,76,3.1,89,3.4,64,2.6,0,0,69.2
95,9/10/11 1:35,911.9,62.42,73,2.2,78,2.8,65,1.8,0,0,69
96,9/10/11 1:36,911.9,62.6,68,2.4,75,3,60,2.1,0,0,68.7
97,9/10/11 1:37,911.8,62.6,74,2.1,80,2.5,62,1.7,0,0,68.8
98,9/10/11 1:38,911.8,62.78,79,2.6,91,3.1,69,2.3,0,0,67.7
99,9/10/11 1:39,911.8,62.78,86,2.5,91,3,81,2.1,0,0,64.8
100,9/10/11 1:40,911.8,62.96,95,2.3,106,2.5,88,1.9,0,0,63.9
101,9/10/11 1:41,911.9,63.32,90,2.3,103,2.7,83,1.7,0,0,63.8
102,9/10/11 1:42,911.8,63.5,90,1.9,95,2.3,82,1.5,0,0,59.7
103,9/10/11 1:43,911.8,63.68,89,1.9,97,2.2,84,1.6,0,0,60
104,9/10/11 1:44,911.8,63.86,94,1.6,100,1.9,87,1.1,0,0,58.7
105,9/10/11 1:45,911.8,64.04,90,1.7,101,1.9,79,1.4,0,0,56.6
106,9/10/11 1:46,911.9,64.22,79,2.1,89,2.4,65,1.8,0,0,58.2
107,9/10/11 1:47,911.8,64.22,87,1.7,100,2.5,67,1.1,0,0,60.7
108,9/10/11 1:48,911.8,64.22,87,1.3,132,2,74,0.7,0,0,61.3
109,9/10/11 1:49,911.8,64.22,93,1.6,100,2,83,1.4,0,0,58.5
110,9/10/11 1:50,911.8,64.22,83,2.1,88,2.5,80,1.6,0,0,59.1
111,9/10/11 1:51,911.8,64.4,81,1.6,87,1.9,73,1.4,0,0,60.4
112,9/10/11 1:52,911.8,64.4,87,2,91,2.2,82,1.8,0,0,60.5
113,9/10/11 1:53,911.8,64.22,89,1.9,94,2.1,85,1.7,0,0,57.8
114,9/10/11 1:54,911.8,64.4,79,2.1,99,2.6,69,1.7,0,0,59.4
115,9/10/11 1:55,911.8,64.4,70,1.8,80,2.3,61,1.4,0,0,62
116,9/10/11 1:56,911.8,64.4,76,2.4,81,3,60,1.9,0,0,63.1
117,9/10/11 1:57,911.8,64.22,71,1.9,77,2.4,66,1.3,0,0,62.5
118,9/10/11 1:58,911.8,64.04,70,1.9,75,2.5,67,1.4,0,0,63.3
119,9/10/11 1:59,911.8,64.04,75,2.5,81,2.9,66,2.3,0,0,63.7
120,9/10/11 2:00,911.8,63.86,68,2.1,76,2.4,62,1.8,0,0,63.5
121,9/10/11 2:01,911.8,63.86,74,2.6,82,2.9,69,2.2,0,0,63.6
122,9/10/11 2:02,911.8,63.68,82,2.2,95,2.6,71,1.5,0,0,62.9
123,9/10/11 2:03,911.7,63.68,78,2.2,89,2.9,68,1.6,0,0,60.9
124,9/10/11 2:04,911.7,63.86,84,2.2,93,2.6,74,1.8,0,0,61.6
125,9/10/11 2:05,911.7,63.86,72,2,81,2.4,61,1.3,0,0,61.7
126,9/10/11 2:06,911.7,63.86,102,1.3,111,1.5,91,1.1,0,0,59.8
127,9/10/11 2:07,911.6,63.86,105,0.8,117,1.1,94,0.4,0,0,57
128,9/10/11 2:08,911.6,64.04,103,1,111,1.3,98,0.7,0,0,55.3
129,9/10/11 2:09,911.6,64.22,114,0.7,144,1,92,0.4,0,0,53.4
130,9/10/11 2:10,911.6,64.4,156,0.5,203,0.7,119,0.3,0,0,50.4
131,9/10/11 2:11,911.5,64.4,147,0.7,173,0.9,125,0.5,0,0,45.2
132,9/10/11 2:12,911.5,64.76,152,1.2,171,1.8,116,0.6,0,0,45.6
133,9/10/11 2:13,911.5,65.12,174,1.1,202,1.5,156,0.7,0,0,46.2
134,9/10/11 2:14,911.5,65.48,162,0.7,203,0.9,127,0.3,0,0,45.2
135,9/10/11 2:15,911.5,65.66,128,0.6,143,1,99,0.2,0,0,42.9
136,9/10/11 2:16,911.5,65.84,121,0.7,159,0.8,95,0.6,0,0,44.2
137,9/10/11 2:17,911.5,65.84,99,0.8,121,1,87,0.6,0,0,52.8
138,9/10/11 2:18,911.5,65.66,82,1,105,1.2,65,0.9,0,0,51
139,9/10/11 2:19,911.5,65.66,72,1.5,78,1.7,63,1.4,0,0,56.9
140,9/10/11 2:20,911.5,65.3,85,2.2,92,2.5,72,2,0,0,58
141,9/10/11 2:21,911.5,64.94,76,2.1,93,2.5,60,1.6,0,0,59.2
142,9/10/11 2:22,911.5,64.58,87,2,102,2.3,59,1.7,0,0,59.9
143,9/10/11 2:23,911.5,64.22,101,2.4,106,2.8,91,2,0,0,61.2
144,9/10/11 2:24,911.5,64.04,83,1.8,94,2.2,67,1.5,0,0,61
145,9/10/11 2:25,911.5,63.86,104,1.3,122,1.8,81,0.8,0,0,60.4
146,9/10/11 2:26,911.4,63.86,110,1,136,1.2,81,0.8,0,0,57.1
147,9/10/11 2:27,911.4,64.04,103,0.5,125,0.9,86,0.2,0,0,54.8
148,9/10/11 2:28,911.4,64.04,103,0.4,143,0.7,78,0.1,0,0,51.9
149,9/10/11 2:29,911.4,64.22,135,0.6,169,0.8,64,0.2,0,0,48.6
150,9/10/11 2:30,911.4,64.58,154,1.3,176,2.1,113,0.8,0,0,50.2
151,9/10/11 2:31,911.3,64.76,149,0.8,188,1.5,123,0.3,0,0,46.8
152,9/10/11 2:32,911.3,64.94,162,1.6,179,2.5,148,1,0,0,47.5
153,9/10/11 2:33,911.3,65.3,152,1.4,174,1.9,137,0.8,0,0,45.5
154,9/10/11 2:34,911.3,65.48,170,1.3,220,2.3,126,0.6,0,0,45.4
155,9/10/11 2:35,911.3,65.66,170,2.1,184,2.9,158,1.4,0,0,47.9
156,9/10/11 2:36,911.4,65.66,170,1.5,227,2.5,153,0.6,0,0,49.8
157,9/10/11 2:37,911.4,65.48,144,1,166,1.5,116,0.6,0,0,47.4
158,9/10/11 2:38,911.4,65.48,159,1.2,185,1.9,111,0.7,0,0,46.8
159,9/10/11 2:39,911.4,65.48,143,0.7,188,1.8,101,0.2,0,0,47
160,9/10/11 2:40,911.4,65.48,154,0.9,208,1.9,100,0.3,0,0,46.2
161,9/10/11 2:41,911.4,65.48,146,1.2,179,1.7,86,0.7,0,0,45.8
162,9/10/11 2:42,911.4,65.66,160,0.8,214,1.1,102,0.4,0,0,46.4
163,9/10/11 2:43,911.4,65.66,148,0.6,171,1.2,130,0.3,0,0,46.6
164,9/10/11 2:44,911.4,65.66,146,0.9,207,1.7,102,0.4,0,0,46.5
165,9/10/11 2:45,911.4,65.66,131,0.7,145,0.9,118,0.4,0,0,46.2
166,9/10/11 2:46,911.4,65.66,162,1.1,190,1.7,133,0.5,0,0,45.6
167,9/10/11 2:47,911.4,65.66,134,0.5,178,0.7,96,0.1,0,0,45.8
168,9/10/11 2:48,911.4,65.66,108,0.7,174,1.6,31,0.1,0,0,45.3
169,9/10/11 2:49,911.5,65.66,114,0.5,135,0.8,97,0.3,0,0,45.2
170,9/10/11 2:50,911.5,65.66,95,1.1,109,1.6,70,0.7,0,0,45.2
171,9/10/11 2:51,911.5,65.66,116,1,167,1.6,78,0.4,0,0,45.4
172,9/10/11 2:52,911.5,65.66,123,1,158,1.5,63,0.3,0,0,46.1
173,9/10/11 2:53,911.5,65.66,117,1.5,130,2,104,1,0,0,45.6
174,9/10/11 2:54,911.5,65.66,95,0.2,129,0.4,66,0.1,0,0,46.1
175,9/10/11 2:55,911.5,65.66,117,1.5,140,1.9,100,1,0,0,45.8
176,9/10/11 2:56,911.5,65.66,116,1.4,143,1.7,82,1,0,0,45.6
177,9/10/11 2:57,911.5,65.66,155,0.6,219,0.9,96,0.2,0,0,45.3
178,9/10/11 2:58,911.4,65.66,88,0.6,128,0.9,347,0.2,0,0,44.9
179,9/10/11 2:59,911.4,65.66,77,0.7,141,1.2,37,0.3,0,0,44.4
180,9/10/11 3:00,911.4,65.66,155,1.1,167,1.6,124,0.7,0,0,42.8
181,9/10/11 3:01,911.4,65.84,106,2,114,2.3,99,1.8,0,0,42.2
182,9/10/11 3:02,911.4,66.02,105,1.8,117,2.2,93,1.5,0,0,44
183,9/10/11 3:03,911.4,66.2,114,1.7,123,2.1,99,1.3,0,0,43.4
184,9/10/11 3:04,911.4,66.2,114,2.1,124,2.6,107,1.7,0,0,40.2
185,9/10/11 3:05,911.4,66.38,138,1.3,189,2.2,92,0.7,0,0,36.8
186,9/10/11 3:06,911.4,66.56,115,0.5,137,0.8,98,0.2,0,0,36.9
187,9/10/11 3:07,911.4,66.92,135,1.1,164,1.6,113,0.6,0,0,37.4
188,9/10/11 3:08,911.4,66.92,165,1.2,194,1.9,128,0.8,0,0,37.6
189,9/10/11 3:09,911.4,67.1,169,1.6,191,2.5,147,0.8,0,0,36.8
190,9/10/11 3:10,911.4,67.1,157,1.2,172,1.6,135,0.8,0,0,36.8
191,9/10/11 3:11,911.3,67.28,161,1.1,177,1.4,140,0.4,0,0,35.6
192,9/10/11 3:12,911.3,67.28,150,0.9,167,1.7,121,0.4,0,0,33.7
193,9/10/11 3:13,911.3,67.46,146,0.8,194,1.6,104,0.2,0,0,33.2
194,9/10/11 3:14,911.3,67.46,146,1,168,1.3,116,0.7,0,0,32.9
195,9/10/11 3:15,911.3,67.64,165,0.9,183,1.7,141,0.5,0,0,33.3
196,9/10/11 3:16,911.3,67.64,153,0.4,219,0.8,80,0.2,0,0,32.4
197,9/10/11 3:17,911.4,67.64,96,1.6,116,1.9,81,1.3,0,0,31.8
198,9/10/11 3:18,911.4,67.82,104,1.9,116,2.2,94,1.5,0,0,31.3
199,9/10/11 3:19,911.4,67.82,78,0.2,120,0.5,29,0,0,0,31.8
200,9/10/11 3:20,911.4,68,53,0.3,69,0.5,19,0.2,0,0,33.4
